Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty Midcap Liquid 15,2024-01-10,14397.95,14496.35,14347.05,14476.9,114.2,.8,66364520,3924.5,39.82,4.76,.51
Nifty Shariah 25,2024-01-10,-,-,-,9410.83,14.02,.15,50437358,6985.83,31.03,6.37,1.61
India VIX,2024-01-10,12.7875,12.7875,11.7125,11.99,-0.8,-6.26,-,-,-,-,-
Nifty100 Liquid 15,2024-01-10,7093.4,7127.7,7078.9,7083.85,-12.15,-.17,114060594,10167.58,21.51,3.29,1.03
Nifty50 TR 1x Inverse,2024-01-10,159.15,159.45,158.45,159.1,0.1,.06,-,-,-,-,-
Nifty50 TR 2x Leverage,2024-01-10,22820.05,23030.8,22732.9,22835.0,-28.85,-.13,-,-,-,-,-
Nifty50 PR 1x Inverse,2024-01-10,191.8,192.2,190.95,191.75,0.15,.08,-,-,-,-,-
Nifty50 PR 2x Leverage,2024-01-10,15682.3,15827.15,15622.45,15692.55,-19.85,-.13,-,-,-,-,-
Nifty Growth Sectors 15,2024-01-10,12813.4,12861.65,12773.65,12852.1,37.55,.29,49034960,6693.03,31.64,7.92,1.58
Nifty MidSmall India Consumption,2024-01-11,-,-,-,19416.18,116.97,.61,3851612,375.63,63.89,9.4,.5
Nifty REITs & InvITs,2024-01-11,-,-,-,1176.2,4.47,.38,660975,8.79,31.1,1.89,8.02
Nifty Core Housing,2024-01-11,-,-,-,16494.26,91.68,.56,3354457,494.5,38.67,4.2,.65
Nifty500 Multicap Infrastructure 50:30:20,2024-01-11,14040.25,14086,14029.1,14050.25,96.5,.69,319856861,2378.78,31.48,4.01,1.17
Nifty Rural,2024-01-11,-,-,-,14838.84,98.42,.67,311306702,2887.1,29.08,4.47,1.11
Nifty India New Age Consumption,2024-01-11,-,-,-,11407.13,117.81,1.04,284611346,2773.52,58.2,8.88,.51
Nifty Consumer Durables,2024-01-11,39571.45,39714.95,39467.2,39555.05,337.05,.86,2036063,403.91,80.47,12.54,.37
Nifty Non-Cyclical Consumer,2024-01-11,-,-,-,16195.63,101.52,.63,19801814,1079.09,63.79,12.6,.88
Nifty500 Multicap India Manufacturing 50:30:20,2024-01-11,15015.95,15065.4,15007.05,15038.8,123.0,.82,46676159,2966.36,34.17,4.04,.8
Nifty MidSmall IT & Telecom,2024-01-11,-,-,-,10447.51,65.38,.63,255971721,654.6,393.35,37.1,.87
Nifty EV & New Age Automotive,2024-01-11,-,-,-,3150.69,31.96,1.02,19145672,1529.83,34.02,5.63,.71
Nifty Capital Markets,2024-01-11,-,-,-,3738.15,23.33,.63,5489944,826.05,44.81,14.11,.89
Nifty MidSmall Healthcare,2024-01-11,43097.15,43167.35,42872.6,42984.55,224.95,.53,13991565,631.79,54.24,6.26,.81
Nifty Mobility,2024-01-11,-,-,-,20476.36,218.19,1.08,34076065,1785.63,27.96,5.15,.96
Nifty Transportation & Logistics,2024-01-11,-,-,-,22997.42,292.56,1.29,25337526,1413.09,29.6,5.88,.7
Nifty Housing,2024-01-11,-,-,-,11548.46,56.91,.5,96269870,2108.79,26.73,3.27,.93
Nifty Financial Services Ex-Bank,2024-01-11,-,-,-,26113.03,151.8,.58,29232876,1077.44,22.81,3.3,.81
Nifty India Defence,2024-01-11,-,-,-,6422.25,74.85,1.18,7323870,495.06,51.24,12.64,.55
Nifty India Digital,2024-01-11,9019.4,9051.75,9009.7,9023.25,56.05,.63,267790669,1290.51,419.8,17.18,1.11
Nifty Total Market,2024-01-11,12868.45,12910.8,12864.5,12878.65,78.55,.61,658244620,13602.83,26.49,3.96,1.1
Nifty Microcap 250,2024-01-11,25085.85,25193.7,25076.95,25145.25,290.65,1.17,53950263,1324.98,35.56,3.67,.51
Nifty500 Multicap 50:25:25,2024-01-11,16015.8,16071.1,16012.05,16032.55,109.6,.69,604294357,12277.86,28.63,4.17,1.02
Nifty Healthcare Index,2024-01-11,14509.1,14515.95,14401.25,14450.7,22.4,.16,3007547,338.77,42.49,6.09,.52
NIFTY SME EMERGE,2024-01-11,-,-,-,16572.43,280.63,1.72,-,-,121.86,11.44,.06
Nifty Oil & Gas,2024-01-11,11399.9,11460.25,11394.85,11442.25,95.15,.84,14556877,586.5,13.27,1.74,3.03
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-01-11,-,-,-,17783.65,132.56,.75,604294357,12277.86,31.02,4.36,.94
Nifty MidSmall Financial Services,2024-01-11,-,-,-,15726.79,111.96,.72,58642875,1235.83,23.51,2.86,.62
Nifty India Tourism,2024-01-11,-,-,-,8151.61,97.91,1.22,12756456,210.81,68.82,17.66,.19
Nifty 10 yr Benchmark G-Sec (Clean Price),2024-01-11,887.02,887.03,887.02,887.03,0.0,0,-,-,-,-,-
NIFTY100 Alpha 30,2024-01-11,-,-,-,19190.02,160.0,.84,54435428,1982.22,24.74,5.22,1.57
NIFTY LargeMidcap 250,2024-01-11,15878,15926.5,15867.35,15884.7,94.15,.6,482579786,8462.8,30.34,4.41,.99
Nifty 10 yr Benchmark G-Sec,2024-01-11,2412.53,2412.53,2411.19,2411.19,0.45,.02,-,-,-,-,-
Nifty Composite G-sec Index,2024-01-11,2827.26,2827.26,2825.67,2825.67,0.53,.02,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,2024-01-11,3358.88,3358.88,3356.96,3356.96,0.64,.02,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,2024-01-11,3030.07,3030.07,3028.35,3028.35,0.56,.02,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,2024-01-11,2948.86,2948.86,2947.21,2947.21,0.55,.02,-,-,-,-,-
Nifty 8-13 yr G-Sec,2024-01-11,2729.37,2729.37,2727.82,2727.82,0.51,.02,-,-,-,-,-
Nifty Top 20 Equal Weight,2024-01-11,-,-,-,8944.33,43.04,.48,13605488,1941.34,23.18,4.36,1.15
Nifty Top 15 Equal Weight,2024-01-11,-,-,-,9694.06,49.42,.51,10066236,1542.38,22.1,3.85,1.13
Nifty500 Multicap Momentum Quality 50,2024-01-11,-,-,-,45925.31,333.52,.73,28803459,1700.64,22.31,5.42,1.48
Nifty Top 10 Equal Weight,2024-01-11,-,-,-,9377.46,31.62,.34,7138173,975.24,22.51,3.89,1.13
Nifty200 Value 30,2024-01-11,-,-,-,13209.67,98.18,.75,65586351,1462.62,12.79,1.68,3.3
Nifty500 Momentum 50,2024-01-11,-,-,-,59766.64,569.24,.96,91161176,2860.99,28.89,5.16,.78
