Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
NIFTY Alpha Quality Value Low-Volatility 30,2024-11-11,-,-,-,21045.36,-13.24,-.06,147111944,14002.6,21.28,5.01,2.13
NIFTY Alpha Quality Low-Volatility 30,2024-11-11,-,-,-,23330.17,-97.82,-.42,88718701,10472.31,30.62,8.04,1.57
NIFTY Quality Low-Volatility 30,2024-11-11,-,-,-,17467.52,-125.57,-.71,66191881,11381.77,33.36,8.11,1.47
NIFTY Alpha Low-Volatility 30,2024-11-11,28147.95,28270.75,27945.95,28002.0,-156.35,-.56,106860248,12227.03,26.63,4.41,.97
Nifty100 Low Volatility 30,2024-11-11,19630.8,19732.85,19488.75,19537.65,-158.65,-.81,80039044,14508.84,32.46,6.03,1.07
Nifty Healthcare Index,2024-11-11,14533.3,14540.65,14238.85,14258.7,-217.8,-1.5,40490847,4294.15,41.43,6.01,.53
Nifty Financial Services 25/50,2024-11-11,25769.45,26139.6,25630.1,25927.5,143.75,.56,94778370,9483.56,16.89,3.03,.96
NIFTY200 Quality 30,2024-11-11,21469.7,21610.5,21325.5,21454.25,-99.45,-.46,66846626,9533.76,34.56,10.58,1.94
NIFTY SME EMERGE,2024-11-11,-,-,-,17024.49,67.02,.4,-,-,126.31,11.74,.06
Nifty Shariah 25,2024-11-11,-,-,-,8628.08,-82.84,-.95,50712567,7881.5,28.08,5.83,1.94
Nifty Midcap Liquid 15,2024-11-11,14003.6,14005.75,13858.5,13883.85,-107.0,-.76,103982734,4762.53,35.23,4.37,.52
Nifty Dividend Opportunities 50,2024-11-11,6484.4,6561.45,6458.95,6513.5,21.6,.33,391583448,15848.61,18.33,3.48,2.71
Nifty CPSE,2024-11-11,6542.6,6626.6,6498.35,6564.9,1.65,.03,103518795,2758.65,13.12,2.46,3.6
Nifty100 Liquid 15,2024-11-11,6416.85,6484.45,6396.8,6415.7,-16.95,-.26,143104408,9955.22,18.63,2.97,1.28
Nifty100 Equal Weight,2024-11-11,32204.5,32515.45,32052.3,32237.85,-48.85,-.15,566261099,38036.92,23.47,3.72,1.28
Nifty High Beta 50,2024-11-11,-,-,-,3702.45,-22.51,-.6,761679820,12439.42,20.3,2.2,1.42
Nifty Alpha 50,2024-11-11,55187.5,55698.45,54619.3,55171.15,-318.75,-.57,352418066,14462.33,37.89,6.12,.71
Nifty Low Volatility 50,2024-11-11,-,-,-,24178.03,-153.16,-.63,122483285,19145,34.83,5.62,.98
Nifty500 Shariah,2024-11-11,-,-,-,7536.2,-53.77,-.71,535839925,27061.59,33.46,5.95,1.36
Nifty50 Shariah,2024-11-11,-,-,-,5129.48,-28.5,-.55,45788401,8034.05,27.14,6.03,2.08
India VIX,2024-11-11,14.47,15.47,13.1175,14.27,-0.2,-1.38,-,-,-,-,-
Nifty Services Sector,2024-11-11,31714.05,32163.85,31614.75,31938.65,170.15,.54,183322016,15010.22,21.99,3.71,1.16
Nifty FMCG,2024-11-11,58327.15,58533.25,57575.15,57843.95,-515.45,-.88,18651543,2110.02,45.91,11.26,1.84
Nifty Bank,2024-11-11,51562.7,52177.7,51294.2,51876.75,315.55,.61,160694052,7576.85,14.24,2.33,.96
Nifty Media,2024-11-11,1954.3,1958.2,1931.3,1935.15,-25.55,-1.3,21683720,217.4,-,2.26,.6
Nifty Metal,2024-11-11,9281.6,9294.35,9166.3,9216.25,-92.65,-1,116293233,3086.15,25.74,2.64,2.29
Nifty MNC,2024-11-11,29294.8,29450.15,29074.4,29136.9,-135.2,-.46,35074882,3923.65,43.82,9.29,1.87
Nifty Pharma,2024-11-11,22671.05,22678.55,22285.95,22344.25,-198.0,-.88,38076927,3691.04,36.39,5.42,.62
Nifty PSU Bank,2024-11-11,6823.35,6928.6,6793.05,6878.35,33.15,.48,107897267,2152.14,7.95,1.33,2.16
Nifty Realty,2024-11-11,965.8,979.15,952.65,966.2,-1.45,-.15,6432590,901.19,49.19,5.5,.39
Nifty India Consumption,2024-11-11,11361.8,11457.15,11319.2,11358.9,-66.25,-.58,102220033,12237.45,46.07,8.9,.96
Nifty Commodities,2024-11-11,8746.1,8769.05,8661.2,8684.15,-86.45,-.99,210795222,7376.56,19.61,2.31,2.27
Nifty Oil & Gas,2024-11-11,11174.75,11234.2,11088.2,11135.1,-93.0,-.83,64662480,2618.66,12.78,1.69,2.82
Nifty PSE,2024-11-11,10125.15,10314.7,10074.9,10212.6,58.75,.58,233067238,7125.59,13.03,2.26,3.37
Nifty Growth Sectors 15,2024-11-11,11871.55,12000,11845.35,11907.85,28.1,.24,76145994,7670.64,28.93,7.33,1.74
Nifty50 Value 20,2024-11-11,13673.6,13838.05,13619.7,13754.3,74.95,.55,154250524,9279.43,19.67,3.63,2.17
Nifty50 TR 2x Leverage,2024-11-11,19784,20194.75,19649.3,19873.05,-21.95,-.11,-,-,-,-,-
NIFTY LargeMidcap 250,2024-11-11,15751.9,15851.35,15662.25,15727.8,-61.55,-.39,1431864373,57094.64,29.73,4.36,1
Nifty Midcap Select,2024-11-11,12530.8,12537.9,12423.35,12495.7,-24.9,-.2,421097051,6289.56,51.51,6.65,.81
Nifty IPO,2024-11-11,-,-,-,2159.17,-27.19,-1.24,182150281,5461.9,61.59,10.87,.14
Nifty Midcap 150,2024-11-11,20871,20923.75,20714.45,20749.95,-169.95,-.81,865603274,19057.72,42.31,5.41,.74
Nifty MidSmallcap 400,2024-11-11,19745.7,19781.15,19581.9,19608.3,-188.15,-.95,1439688750,37321.59,37.79,4.88,.79
Nifty Smallcap 50,2024-11-11,8889.5,8905.9,8801.1,8810.85,-107.35,-1.2,144540533,5588.65,31.56,3.75,.81
Nifty Smallcap 250,2024-11-11,17582,17592.05,17401.05,17423.9,-210.35,-1.19,574085476,18263.87,31.82,4.17,.87
Nifty Private Bank,2024-11-11,25163.85,25473.2,25005.85,25318.25,131.5,.52,103949493,5876.24,15.16,2.35,.59
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-11-11,16398.95,16688.25,16336.45,16491.15,45.2,.27,99215811,7009.47,31.41,6.37,1.01
Nifty India Corporate Group Index - Tata Group,2024-11-11,-,-,-,18663.35,103.02,.56,107959272,7627.79,33.15,8.16,1.22
Nifty India Corporate Group Index - Aditya Birla Group,2024-11-11,-,-,-,7708.67,-38.46,-.5,325949337,981.59,503.74,3.51,.54
Nifty50 TR 1x Inverse,2024-11-11,171.1,171.7,169.35,170.7,0.1,.06,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,2024-11-11,-,-,-,33665.85,-247.97,-.73,5873914,1096.88,31.15,4.65,1.33
Nifty Infrastructure,2024-11-11,8676.7,8742.75,8625.35,8657.75,-51.65,-.59,159148066,8425.46,24.28,3.03,1.17
Nifty 50 Arbitrage,2024-11-11,-,-,-,2397.54,-0.44,-.02,-,-,-,-,-
Nifty50 PR 1x Inverse,2024-11-11,206.45,207.15,204.35,206.0,0.15,.07,-,-,-,-,-
Nifty50 PR 2x Leverage,2024-11-11,13558.45,13839.9,13466.1,13619.45,-15.05,-.11,-,-,-,-,-
NIFTY100 Quality 30,2024-11-11,5728.15,5773.75,5699.1,5728.45,-20.5,-.36,84647659,12463.3,32.49,8.6,1.87
Nifty500 Multicap Momentum Quality 50,2024-11-11,-,-,-,46153.43,106.52,.23,132879296,9185.78,22.14,5.44,1.68
Nifty Top 15 Equal Weight,2024-11-11,-,-,-,9734.1,3.09,.03,72481401,11367.16,22.15,3.87,1.15
Nifty Top 20 Equal Weight,2024-11-11,-,-,-,8897.54,-24.58,-.28,112728489,16714.17,23.05,4.34,1.17
NIFTY100 ESG,2024-11-11,4776.85,4829.9,4756.85,4793.3,1.0,.02,482185934,34857.69,23.96,4.21,1.23
NIFTY100 Enhanced ESG,2024-11-11,-,-,-,4829.3,1.03,.02,481932595,34799.96,23.95,4.21,1.23
Nifty 50 Futures TR Index,2024-11-11,-,-,-,25987.9,22.0,.08,-,-,-,-,-
NIFTY50 Equal Weight,2024-11-11,30445.45,30700.45,30329,30421.0,-129.95,-.43,273370562,26600.28,23.2,3.79,1.42
Nifty 50 Futures Index,2024-11-11,-,-,-,6652.57,1.77,.03,-,-,-,-,-
Nifty500 Equal Weight,2024-11-11,-,-,-,14185.7,-113.24,-.79,2005949849,75358.51,31.27,4.23,.93
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-12-09,-,-,-,18513.16,228.18,1.25,2374006513,102775.67,31.76,4.65,.9
Nifty EV & New Age Automotive,2024-12-09,-,-,-,3376.62,62.41,1.88,105111300,13870.15,35.67,6.44,.68
NIFTY100 Quality 30,2024-12-09,6180,6248.15,6161.75,6237.9,87.35,1.42,110357882,16961.9,35.71,10.37,1.57
Nifty Shariah 25,2024-12-09,-,-,-,9398.9,132.57,1.43,88114373,9728,30.96,6.85,1.62
Nifty50 PR 2x Leverage,2024-12-09,14872.05,15311.15,14733.75,15260.8,552.8,3.76,-,-,-,-,-
Nifty50 PR 1x Inverse,2024-12-09,196.85,197.8,193.9,194.25,-3.7,-1.87,-,-,-,-,-
Nifty50 TR 2x Leverage,2024-12-09,21641.05,22279.95,21439.75,22206.65,804.35,3.76,-,-,-,-,-
Nifty Growth Sectors 15,2024-12-09,12812.45,12965.8,12727.25,12938.7,196.45,1.54,64437763,9291.31,35.86,9.44,1.71
India VIX,2024-12-09,13.6275,13.6275,11.14,13.18,-0.45,-3.27,-,-,-,-,-
Nifty50 TR 1x Inverse,2024-12-09,163.35,164.15,160.9,161.2,-3.05,-1.86,-,-,-,-,-
Nifty Smallcap250 Momentum Quality 100,2024-12-09,-,-,-,53471.57,576.88,1.09,221955156,9344.45,29.47,4.9,.91
Nifty 50 Futures Index,2024-12-09,-,-,-,7037.44,115.97,1.68,-,-,-,-,-
Nifty500 Momentum 50,2024-12-09,-,-,-,62112.6,920.32,1.5,433913606,15455.56,30.18,5.52,.74
Nifty MidSmallcap400 Momentum Quality 100,2024-12-09,-,-,-,54157.85,609.05,1.14,221073121,12030.89,34.54,6.67,.86
Nifty Midcap Liquid 15,2024-12-09,14182.65,14258.75,14149.05,14245.3,166.45,1.18,53268010,3452.12,40.6,4.91,.62
Nifty Smallcap250 Quality 50,2024-12-09,-,-,-,30846.58,272.49,.89,91764130,3640.66,29.76,5.46,1.13
Nifty Midcap150 Momentum 50,2024-12-09,64977.55,65463.9,64781.7,65413.9,920.35,1.43,170755779,9632.24,35.56,5.76,.81
Nifty200 Alpha 30,2024-12-09,28389.5,28644.4,28311.7,28630.35,476.4,1.69,628967436,14597.54,25.82,4.99,1.25
Nifty100 ESG Sector Leaders,2024-12-09,4197.75,4256.75,4177.75,4250.15,77.35,1.85,435474773,42369.63,27.93,4.71,.97
Nifty India Manufacturing,2024-12-09,15010.95,15163.1,14950.6,15147.85,250.2,1.68,455565968,25670.81,33.04,5.31,1.07
Nifty200 Momentum 30,2024-12-09,35958.4,36462.45,35868.05,36431.15,731.85,2.05,215102981,16925.49,23.54,5,1.39
NIFTY Midcap150 Quality 50,2024-12-09,25790,25847.05,25716.7,25828.5,186.65,.73,30481945,3911.5,41.58,10.25,1.07
NIFTY200 Quality 30,2024-12-09,23185.05,23400.15,23111.55,23361.8,286.85,1.24,85260335,13280.09,38.08,11.74,1.62
NIFTY Alpha Quality Value Low-Volatility 30,2024-12-09,-,-,-,22578.34,331.59,1.49,164419676,17911.69,23.1,5.72,1.83
NIFTY Alpha Quality Low-Volatility 30,2024-12-09,-,-,-,25520.45,311.21,1.23,89057247,13590.86,33.61,9.15,1.36
NIFTY Quality Low-Volatility 30,2024-12-09,-,-,-,19205.3,247.2,1.3,97278674,17087.05,36.75,9.65,1.28
NIFTY Alpha Low-Volatility 30,2024-12-09,30099.05,30471.65,30021.45,30433.45,489.3,1.63,177061327,23170.26,29.37,5.15,.91
Nifty100 Low Volatility 30,2024-12-09,20984.15,21230.55,20930.95,21197.45,314.3,1.51,144639719,23996.86,37.28,7.39,1.04
NIFTY100 Enhanced ESG,2024-12-09,-,-,-,5165.49,89.42,1.76,641980234,52155.25,25.88,4.85,1.14
NIFTY500 Value 50,2024-12-09,-,-,-,14879.72,307.51,2.11,451853450,13383.3,12.59,1.8,3.19
NIFTY100 Alpha 30,2024-12-09,-,-,-,20954.62,407.15,1.98,352140195,17756.54,20.28,4.28,1.29
Nifty 50 Futures TR Index,2024-12-09,-,-,-,27172.07,452.9,1.7,-,-,-,-,-
Nifty 50 Arbitrage,2024-12-09,-,-,-,2377.38,3.36,.14,-,-,-,-,-
Nifty India Tourism,2024-12-09,-,-,-,9096.29,113.77,1.27,46696556,1980.49,68.5,18.75,.17
Nifty50 Value 20,2024-12-09,14190,14395.4,14107,14367.6,270.1,1.92,241198086,16430.54,21.31,3.95,1.97
Nifty PSU Bank,2024-12-09,6582.75,6641.5,6542.6,6633.65,111.6,1.71,100725996,2358.07,8.1,1.29,2.23
Nifty100 Liquid 15,2024-12-09,6814.25,6929.9,6776.9,6918.55,151.15,2.23,173227862,16499.9,21.41,3.44,.86
Nifty Financial Services,2024-12-09,23712.2,23990.25,23578.45,23945.6,363.1,1.54,110716176,13032.11,17.05,3.27,.91
Nifty Energy,2024-12-09,41854.25,42608.35,41706,42497.85,871.6,2.09,131853768,7483.02,15.69,2.71,2.29
Nifty Bank,2024-12-09,51271,51878.1,51025,51772.4,762.4,1.49,127898149,9274.62,15.02,2.7,.91
Nifty Auto,2024-12-09,25342.55,25818.45,25191.1,25779.8,539.2,2.14,59497059,7810.09,25.34,5.79,.85
Nifty50 Dividend Points,2024-12-09,-,-,-,194.25,0.0,-,-,-,-,-,-
NIFTY Smallcap 100,2024-12-09,19278.9,19377.45,19218.1,19354.75,192.9,1.01,360394255,12880.84,30.35,4.12,.8
Nifty FMCG,2024-12-09,64958.65,65597.85,64697.7,65513.2,745.05,1.15,41169370,4091.96,51.47,12.63,1.63
NIFTY Midcap 100,2024-12-09,59436.85,59697.75,59197.15,59640.3,702.25,1.19,1025757346,19309.72,44.52,5.18,.66
Nifty 500,2024-12-09,23680,23934.6,23593.6,23907.35,376.1,1.6,2374006513,102775.67,27.39,4.48,1.05
Nifty 200,2024-12-09,14243.1,14412.4,14188.05,14394.65,243.15,1.72,1742129187,75826.2,26.54,4.42,1.09
Nifty 100,2024-12-09,26145.9,26497.5,26041.6,26461.1,473.3,1.82,716371841,56516.49,24.61,4.3,1.18
Nifty Next 50,2024-12-09,74904.5,75469.95,74741.7,75446.35,1091.1,1.47,336302188,14768.58,26.81,4.8,1.27
Nifty 50,2024-12-09,25059.65,25433.35,24941.45,25388.9,470.45,1.89,380069653,41747.91,23.61,4.18,1.2
Nifty200 Value 30,2024-12-09,-,-,-,13784.85,312.53,2.32,375158673,12403.32,12.29,1.88,3.11
Nifty Midcap 50,2024-12-09,16713,16779.7,16625.7,16760.15,214.3,1.3,854857948,10720.94,48.22,5.78,.69
Nifty IT,2024-12-09,42836.5,43265.25,42449.05,43152.1,678.85,1.6,26435647,5098.99,35.26,8.97,1.8
Nifty Media,2024-12-09,2090.7,2093.5,2075.3,2083.5,7.8,.38,31724121,574.77,-,2.32,.38
Nifty Metal,2024-12-09,9144.35,9305.6,9068.95,9290.85,262.65,2.91,154688891,4328.49,30.76,2.82,2.17
Nifty100 Equal Weight,2024-12-09,34446.35,34826.05,34343.7,34796.2,574.25,1.68,716371841,56516.49,26.77,4.6,1.15
Nifty High Beta 50,2024-12-09,-,-,-,4064.66,76.72,1.92,1065031655,15136.59,20.6,2.11,1.45
Nifty Alpha 50,2024-12-09,59411.35,59777.8,59117.6,59743.0,885.5,1.5,545083845,17696.75,31.04,5.1,.71
Nifty Low Volatility 50,2024-12-09,-,-,-,26098.55,386.36,1.5,221104844,31985.89,34.41,5.93,1
Nifty500 Shariah,2024-12-09,-,-,-,8167.25,97.99,1.21,505031308,37231.3,37.97,7.1,1.08
Nifty50 Shariah,2024-12-09,-,-,-,5669.91,84.21,1.51,58883078,8789.07,30.05,7.18,1.71
Nifty Services Sector,2024-12-09,32175.7,32621.45,32034.3,32570.85,608.6,1.9,303185880,25021.44,23.03,4.22,1.12
Nifty PSE,2024-12-09,10822.15,10980.2,10786,10965.95,215.85,2.01,241235273,8144.32,12.81,2.7,2.96
Nifty Infrastructure,2024-12-09,9206.15,9378.65,9185.2,9364.6,217.5,2.38,182760388,15081.74,24.83,3.62,1.19
Nifty Dividend Opportunities 50,2024-12-09,6788.9,6876.2,6757.25,6865.25,123.7,1.83,469631513,21883.29,19.59,3.84,2.45
Nifty Commodities,2024-12-09,9231.85,9376.05,9184.3,9366.15,203.95,2.23,253442879,12117.83,20.04,2.73,2
Nifty India Consumption,2024-12-09,12358.9,12545.05,12339.05,12531.4,243.85,1.98,184810003,16820.59,54.86,10.11,.91
Nifty Realty,2024-12-09,1032.05,1038.05,1024.65,1035.7,9.05,.88,5371427,843.2,56.31,6.04,.39
Nifty Pharma,2024-12-09,23358.75,23488.7,23239.5,23429.6,209.2,.9,66304539,6450.12,39.12,6.13,.58
Nifty MNC,2024-12-09,31118.75,31379.9,31013,31342.65,368.5,1.19,32948473,4805.62,47.21,10.58,1.72
Nifty CPSE,2024-12-09,6931.25,7048.8,6910.3,7038.05,151.55,2.2,154600486,4814.34,14.41,2.92,2.81
Nifty Top 10 Equal Weight,2024-12-09,-,-,-,9831.6,157.26,1.63,92602477,15837.85,24.54,4.63,1.21
Nifty India Corporate Group Index - Aditya Birla Group,2024-12-09,-,-,-,8515.18,227.49,2.74,430573354,2287.57,716.87,3.95,.5
NIFTY100 ESG,2024-12-09,5070.95,5134.2,5048.4,5127.0,88.6,1.76,642211496,52212.71,25.9,4.85,1.14
Nifty Transportation & Logistics,2024-12-09,-,-,-,25029.3,532.29,2.17,187132924,13005.2,31.81,6.87,.65
Nifty MidSmall Financial Services,2024-12-09,-,-,-,15558.43,198.85,1.29,224476303,4856.67,23.41,2.9,.69
Nifty MidSmall Healthcare,2024-12-09,42609.75,43000.5,42599.25,42752.7,408.85,.97,78301702,5881.74,54.98,6.74,.7
Nifty MidSmall IT & Telecom,2024-12-09,-,-,-,11615.12,142.05,1.24,453304586,3465.29,-,31.57,.77
Nifty MidSmall India Consumption,2024-12-09,-,-,-,19899.57,236.46,1.2,36320822,3509.04,66.84,8.97,.41
Nifty REITs & InvITs,2024-12-09,-,-,-,1143.8,4.68,.41,6015773,156.93,30.67,1.82,7.21
Nifty Core Housing,2024-12-09,-,-,-,17550.98,224.78,1.3,31409129,4598.62,40.99,4.66,.62
Nifty500 Multicap Infrastructure 50:30:20,2024-12-09,14604.75,14822.65,14588.85,14805.45,291.5,2.01,680640699,20304.36,30.71,4.22,1.03
Nifty Rural,2024-12-09,-,-,-,15814.5,300.42,1.94,687800770,25567.08,31.26,4.85,1.03
Nifty Consumer Durables,2024-12-09,42478.85,42728.7,42341.5,42691.95,558.35,1.33,20321597,2677.21,90.38,13.46,.34
Nifty Non-Cyclical Consumer,2024-12-09,-,-,-,17899.47,288.3,1.64,188267560,13844.8,71.23,14.17,.82
Nifty 8-13 yr G-Sec,2024-12-09,2704.08,2707.73,2703.27,2707.73,4.17,.15,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,2024-12-09,2924.15,2925.35,2923.46,2925.35,1.76,.06,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,2024-12-09,2998.66,3002.97,2997.73,3002.97,4.88,.16,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,2024-12-09,3329.2,3334.65,3328.69,3334.65,6.08,.18,-,-,-,-,-
Nifty Composite G-sec Index,2024-12-09,2802.33,2805.69,2801.78,2805.69,3.89,.14,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,2024-12-09,2393.33,2396.37,2392.73,2396.37,3.49,.15,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),2024-12-09,888.65,889.82,888.42,889.82,1.16,.13,-,-,-,-,-
Nifty 1D Rate Index,2024-12-09,-,-,-,2327.36,0.4,.02,-,-,-,-,-
Nifty50 USD,2024-12-09,-,-,-,10475.89,194.04,1.89,-,-,-,-,-
Nifty500 Multicap Momentum Quality 50,2024-12-09,-,-,-,48790.98,734.96,1.53,188157272,12249.56,23.66,5.95,1.36
Nifty Housing,2024-12-09,-,-,-,11850.82,204.08,1.75,423398040,19235.76,27.93,3.7,.84
Nifty Financial Services Ex-Bank,2024-12-09,-,-,-,27355.15,428.93,1.59,130550568,8575.63,25.23,3.38,.77
Nifty500 Multicap India Manufacturing 50:30:20,2024-12-09,15580.85,15745.15,15523.45,15729.55,244.35,1.58,313084255,26087.71,34.92,4.54,.76
Nifty Mobility,2024-12-09,-,-,-,22483.61,486.18,2.21,233462302,17236.82,28.75,6.26,.88
NIFTY50 Equal Weight,2024-12-09,32266.35,32754.65,32143.1,32704.5,631.95,1.97,380069653,41747.91,25.27,4.46,1.28
Nifty India Defence,2024-12-09,-,-,-,6843.39,53.25,.78,22073069,1935.94,56.17,14.57,.46
Nifty500 Equal Weight,2024-12-09,-,-,-,15184.36,142.0,.94,2374006513,102775.67,33.51,4.5,.87
Nifty India Corporate Group Index - Mahindra Group,2024-12-09,-,-,-,32686.79,891.2,2.8,8878134,1506.46,32.87,4.45,1.3
Nifty India Corporate Group Index - Tata Group,2024-12-09,-,-,-,20515.03,224.41,1.11,136224455,7734.65,39.82,9.3,1.11
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-12-09,18240.25,18353.3,18070.9,18329.35,226.15,1.25,120017036,7010.45,41.16,7.32,.89
Nifty Smallcap 250,2024-12-09,18345.7,18400,18284.6,18381.7,142.9,.78,608483142,24839.24,31.94,4.31,.83
Nifty Smallcap 50,2024-12-09,9252.7,9306.7,9227.9,9297.25,100.25,1.09,139452973,6032.75,28.01,3.91,.81
Nifty MidSmallcap 400,2024-12-09,20714,20794.65,20650.9,20779.55,208.4,1.01,1657634672,46259.18,39.01,5.04,.73
Nifty Midcap 150,2024-12-09,21963.5,22061.95,21893.5,22047.7,248.75,1.14,1049151530,21419.94,44.5,5.56,.68
Nifty Private Bank,2024-12-09,25705.15,26000.7,25585.6,25949.9,358.9,1.4,87344497,7548.15,15.71,2.65,.73
Nifty Midcap Select,2024-12-09,13209.2,13286.15,13165.6,13275.25,158.55,1.21,470143848,4925.39,64.18,7.04,.78
NIFTY LargeMidcap 250,2024-12-09,16542.7,16689.55,16489.4,16674.1,243.4,1.48,1765523371,77936.43,31.67,4.85,.93
NIFTY SME EMERGE,2024-12-09,-,-,-,16360.13,165.15,1.02,-,-,110.31,10.75,.08
Nifty Oil & Gas,2024-12-09,12650,12800.95,12590.05,12770.3,202.0,1.61,105068436,6313.2,12.38,2.26,2.74
Nifty Financial Services 25/50,2024-12-09,26409.75,26709.35,26240.25,26666.25,404.45,1.54,110716176,13032.11,17.7,3.31,.91
Nifty Healthcare Index,2024-12-09,14629.65,14746.9,14592.05,14720.95,188.55,1.3,69171665,7117.92,44.02,6.69,.51
Nifty500 Multicap 50:25:25,2024-12-09,16603.55,16743.7,16546.55,16727.6,229.5,1.39,2374006513,102775.67,29.6,4.56,.97
Nifty Microcap 250,2024-12-09,25078.2,25140.95,24992.35,25127.0,186.15,.75,275389260,6348.76,30.99,3.53,.48
Nifty IPO,2024-12-09,-,-,-,2320.31,29.19,1.27,206390794,9806.81,58.87,9.39,.15
Nifty Total Market,2024-12-09,13342.1,13481.25,13294.5,13466.4,207.7,1.57,2649395773,109124.43,27.5,4.43,1.03
Nifty India Digital,2024-12-09,9660.55,9766,9613.5,9752.6,180.5,1.89,582205375,13648.15,338.14,14.29,.98
Nifty Midcap 150,2024-12-11,20825.25,20935.45,20507.4,20560.6,-189.35,-.91,697137056,18050.73,41.9,5.36,.75
Nifty MidSmallcap 400,2024-12-11,19670.7,19774.65,19359.25,19401.45,-206.85,-1.05,1166369587,34880.02,37.42,4.83,.8
Nifty Smallcap 50,2024-12-11,8813.4,8879.45,8651.45,8674.85,-136.0,-1.54,135362679,5674.62,31.13,3.69,.82
Nifty Smallcap 250,2024-12-11,17465.65,17560.45,17162.85,17196.4,-227.5,-1.31,469232531,16829.29,31.47,4.11,.88
Nifty Private Bank,2024-12-11,25381.8,25491.6,24949.2,25036.0,-282.25,-1.11,86981116,6905.21,14.99,2.32,.6
Nifty India Corporate Group Index - Mahindra Group,2024-12-11,-,-,-,33289.92,-375.93,-1.12,5714364,1000.06,30.8,4.59,1.34
Nifty India Corporate Group Index - Tata Group,2024-12-11,-,-,-,18560.45,-102.89,-.55,73846542,5406.57,32.97,8.12,1.23
Nifty India Corporate Group Index - Aditya Birla Group,2024-12-11,-,-,-,7653.26,-55.41,-.72,299102749,1539.07,500.12,3.48,.54
Nifty 50 Futures TR Index,2024-12-11,-,-,-,25706.85,-281.06,-1.08,-,-,-,-,-
Nifty IPO,2024-12-11,-,-,-,2136.69,-22.48,-1.04,104979002,4063.94,58.36,10.76,.14
Nifty 50 Arbitrage,2024-12-11,-,-,-,2398.2,0.66,.03,-,-,-,-,-
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-12-11,16536.35,16622.9,16306.5,16367.6,-123.55,-.75,67239750,4989.83,31.17,6.32,1.02
Nifty Midcap Select,2024-12-11,12534.2,12577.2,12293.25,12333.0,-162.7,-1.3,341649584,4847.79,50.73,6.57,.82
Nifty India Defence,2024-12-11,6392.1,6403.25,6197.85,6217.2,-140.8,-2.21,19147075,1673.71,48.66,12.23,.57
NIFTY SME EMERGE,2024-12-11,-,-,-,16741.15,-283.34,-1.66,-,-,126.89,11.58,.06
Nifty Oil & Gas,2024-12-11,11177.95,11257.95,11003.45,11033.85,-101.25,-.91,85235139,3341.93,12.66,1.68,2.88
Nifty Financial Services 25/50,2024-12-11,26027.65,26095.75,25463,25519.35,-408.15,-1.57,85259942,10570.7,16.51,2.98,.97
Nifty Healthcare Index,2024-12-11,14248.75,14402,14119.45,14149.65,-109.05,-.76,26409690,3428.26,40.96,5.96,.53
Nifty500 Multicap 50:25:25,2024-12-11,15859.45,15912.65,15597.8,15628.15,-181.9,-1.15,1712810126,74130.26,27.57,4.06,1.05
Nifty Microcap 250,2024-12-11,24535.3,24666.9,24104,24142.15,-312.25,-1.28,168284335,4759.8,34.1,3.53,.52
Nifty Total Market,2024-12-11,12780.2,12813.55,12567.6,12591.7,-147.4,-1.16,1881094461,78890.06,25.51,3.87,1.13
Nifty India Digital,2024-12-11,9304.55,9352.55,9184.65,9207.15,-48.4,-.52,372405439,7647.36,435.88,17.53,1.05
Nifty Mobility,2024-12-11,-,-,-,19885.44,-330.0,-1.63,180924873,9149.27,26.97,5,.95
Nifty Financial Services Ex-Bank,2024-12-11,-,-,-,25282.39,-319.14,-1.25,86640779,5757.64,21.93,3.2,.88
Nifty Housing,2024-12-11,-,-,-,11174.58,-161.33,-1.42,310278937,16357.19,24.71,3.17,.91
Nifty Transportation & Logistics,2024-12-11,-,-,-,22441.81,-350.63,-1.54,140205997,7881.76,28.61,5.74,.72
Nifty 50 Futures Index,2024-12-11,-,-,-,6579.33,-73.24,-1.1,-,-,-,-,-
NIFTY LargeMidcap 250,2024-12-11,15781.8,15835,15528.15,15562.55,-165.25,-1.05,1243577595,57300.97,29.27,4.32,1.02
Nifty500 Equal Weight,2024-12-11,-,-,-,14014.68,-171.02,-1.21,1712810126,74130.26,30.86,4.17,.94
Nifty500 Shariah,2024-12-11,-,-,-,7445.84,-90.37,-1.2,443709947,27070.39,33.13,5.88,1.38
NIFTY100 Enhanced ESG,2024-12-11,-,-,-,4771.24,-58.06,-1.2,476581448,35919.67,23.63,4.16,1.25
Nifty India Consumption,2024-12-11,11377.9,11418.85,11183.4,11213.75,-145.15,-1.28,107486448,11301.62,45.72,8.79,.97
